,,,,,,,,
,Fund Name,Fund Code,Stock Code,Previous %,Current %,Change %,Change Points,Status
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG BALLAD VIỆT NAM,TBLF,HPG,15.76%,0.00%,-15.76%,-15.76,REMOVED
,QUỸ ĐẦU TƯ BẢN VIỆT DISCOVERY,VCAMDF,VCG,10.19%,0.00%,-10.19%,-10.19,REMOVED
,QUỸ ĐẦU TƯ CHỦ ĐỘNG VND,VNDAF,VPB,8.14%,0.00%,-8.14%,-8.14,REMOVED
,QUỸ ĐẦU TƯ NĂNG ĐỘNG LIGHTHOUSE,LHCDF,KBC,5.85%,0.00%,-5.85%,-5.85,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC TĂNG TRƯỞNG KIM,KDEF,FPT,5.71%,0.00%,-5.71%,-5.71,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG BALLAD VIỆT NAM,TBLF,PNJ,9.69%,4.57%,-5.12%,-5.12,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TRIỂN VỌNG BẢO VIỆT,BVPF,TCB,4.95%,0.00%,-4.95%,-4.95,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU HƯNG THỊNH VINACAPITAL,VEOF,VPB,4.90%,0.00%,-4.90%,-4.9,REMOVED
,QUỸ ĐẦU TƯ GIÁ TRỊ MB CAPITAL,MBVF,VPB,4.84%,0.00%,-4.84%,-4.84,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU UNITED ESG VIỆT NAM,UVEEF,FPT,4.82%,0.00%,-4.82%,-4.82,REMOVED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG BORDIER - MB FLAGSHIP,BMFF,VPB,4.81%,0.00%,-4.81%,-4.81,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU TRIỂN VỌNG BẢO VIỆT,BVPF,HPG,4.80%,0.00%,-4.80%,-4.8,REMOVED
,QUỸ ĐẦU TƯ LỢI THẾ CẠNH TRANH BỀN VỮNG SSI,SSISCA,FPT,4.77%,0.00%,-4.77%,-4.77,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG MIRAE ASSET VIỆT NAM,MAGEF,VPB,4.68%,0.00%,-4.68%,-4.68,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU MANULIFE,MAFEQI,VPB,4.67%,0.00%,-4.67%,-4.67,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU TIẾP CẬN THỊ TRƯỜNG VINACAPITAL,VESAF,VPB,4.61%,0.00%,-4.61%,-4.61,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC NĂNG ĐỘNG VINACAPITAL,VDEF,PHR,4.53%,0.00%,-4.53%,-4.53,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC NĂNG ĐỘNG VINACAPITAL,VDEF,TPB,4.53%,0.00%,-4.53%,-4.53,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU KINH TẾ HIỆN ĐẠI VINACAPITAL,VMPF,VPB,4.44%,0.00%,-4.44%,-4.44,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU UNITED ESG VIỆT NAM,UVEEF,SSI,4.40%,0.00%,-4.40%,-4.4,REMOVED
,QUỸ ĐẦU TƯ NĂNG ĐỘNG LIGHTHOUSE,LHCDF,KDH,4.39%,0.00%,-4.39%,-4.39,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU HƯNG THỊNH VINACAPITAL,VEOF,FPT,4.38%,0.00%,-4.38%,-4.38,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU ESG EASTSPRING INVESTMENTS VIỆT NAM,EVESG,VCB,4.36%,0.00%,-4.36%,-4.36,REMOVED
,QUỸ ĐẦU TƯ LỢI THẾ CẠNH TRANH BỀN VỮNG SSI,SSISCA,REE,4.32%,0.00%,-4.32%,-4.32,REMOVED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG DFVN,DCAF,CTD,4.28%,0.00%,-4.28%,-4.28,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG BALLAD VIỆT NAM,TBLF,VCB,4.23%,0.00%,-4.23%,-4.23,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU ESG EASTSPRING INVESTMENTS VIỆT NAM,EVESG,REE,4.21%,0.00%,-4.21%,-4.21,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG BALLAD VIỆT NAM,TBLF,BID,4.20%,0.00%,-4.20%,-4.2,REMOVED
,QUỸ ĐẦU TƯ CHỨNG KHOÁN NĂNG ĐỘNG DC,VFMVF1,FPT,4.11%,0.00%,-4.11%,-4.11,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU TRIỂN VỌNG BẢO VIỆT,BVPF,HDG,4.10%,0.00%,-4.10%,-4.1,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC TĂNG TRƯỞNG KIM,KDEF,PHR,4.06%,0.00%,-4.06%,-4.06,REMOVED
,QUỸ ĐẦU TƯ BẢN VIỆT DISCOVERY,VCAMDF,HVN,8.41%,4.37%,-4.04%,-4.04,CHANGED
,QUỸ ĐẦU TƯ CHỦ ĐỘNG VND,VNDAF,VNM,4.03%,0.00%,-4.03%,-4.03,REMOVED
